ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 0},1)},0)	.0026877
1	1	2	({({x1 => 1, x2 => 1},1)},0)	.00249214
2	1	2	({({x1 => 1, x2 => 1},0)},1)	.00241512
3	1	2	({({x1 => 0, x2 => 0},0)},1)	.00253732
4	1	2	({({x1 => 0, x2 => 0},1)},0)	.00247391
5	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	.00958881
6	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	.00987475
7	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},0)	.0096051
8	1	4	({({x1 => 1, x2 => 1, x3 => 0, x4 => 0},0)},1)	.00408963
9	2	4	({({x4 => 0},1), ({x1 => 1, x2 => 1, x3 => 1},0)},1)	.00722643
10	4	6	({({x6 => 1},1), ({x1 => 1, x3 => 1},0), ({x2 => 1},1), ({x4 => 1, x5 => 0},0)},1)	.021533
11	3	6	({({x1 => 1},0), ({x6 => 0},1), ({x2 => 0, x3 => 0, x4 => 1, x5 => 1},0)},1)	.0145516
12	3	6	({({x4 => 1},0), ({x1 => 1, x2 => 0},1), ({x3 => 0, x5 => 1, x6 => 1},0)},1)	.0140829
13	2	6	({({x1 => 1, x2 => 0, x5 => 0},1), ({x3 => 0, x4 => 1, x6 => 1},0)},1)	.00899795
14	4	6	({({x1 => 0, x6 => 0},0), ({x5 => 1},1), ({x3 => 0},0), ({x2 => 1, x4 => 0},1)},0)	.015647
