ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	2	4	({({x1 => 0, x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	.0066754
1	2	4	({({x1 => 0, x2 => 1},0), ({x3 => 1, x4 => 1},1)},0)	.0064353
2	2	4	({({x1 => 1},0), ({x2 => 1, x3 => 1, x4 => 1},1)},0)	.0070994
3	1	4	({({x1 => 1, x2 => 0, x3 => 0, x4 => 0},0)},1)	.0037866
4	2	4	({({x1 => 1, x4 => 1},0), ({x2 => 1, x3 => 1},1)},0)	.0062491
5	3	4	({({x2 => 0},0), ({x3 => 0},1), ({x1 => 1, x4 => 0},0)},1)	.0090484
6	2	4	({({x1 => 1},1), ({x2 => 1, x3 => 0, x4 => 0},0)},1)	.0066217
7	0	0	({},x1*x2*x3*x4+x1*x2*x4+x1*x3+x2*x4+x1+1)	.0030835
8	2	4	({({x2 => 1},0), ({x1 => 1, x3 => 0, x4 => 1},1)},0)	.0068542
9	2	4	({({x2 => 1, x3 => 0},0), ({x1 => 1, x4 => 1},1)},0)	.0059296
10	2	4	({({x1 => 1, x4 => 1},1), ({x2 => 0, x3 => 0},0)},1)	.0060795
11	0	0	({},x1*x2*x3*x4+x2*x3*x4+x1*x2+x3*x4+x2)	.0030075
12	3	4	({({x4 => 1},1), ({x2 => 1},0), ({x1 => 1, x3 => 1},1)},0)	.0086949
13	3	4	({({x1 => 1},0), ({x4 => 1},1), ({x2 => 0, x3 => 0},0)},1)	.0085299
14	2	4	({({x1 => 1, x4 => 1},0), ({x2 => 0, x3 => 1},1)},0)	.006128
15	1	1	({({x1 => 1},0)},x2*x3+x2*x4+x3*x4)	.0059548
16	2	4	({({x1 => 1, x2 => 1},1), ({x3 => 0, x4 => 0},0)},1)	.0058022
17	0	0	({},x1*x2*x3*x4+x1*x2*x4+x1*x3+x2*x4+x1)	.0032705
18	2	4	({({x1 => 1},0), ({x2 => 1, x3 => 1, x4 => 1},1)},0)	.006571
19	2	4	({({x3 => 1, x4 => 1},0), ({x1 => 1, x2 => 1},1)},0)	.0056814
20	2	4	({({x2 => 1, x4 => 1},0), ({x1 => 1, x3 => 1},1)},0)	.0056265
21	1	4	({({x1 => 1, x2 => 1, x3 => 1, x4 => 0},0)},1)	.0034776
22	1	3	({({x2 => 1, x3 => 1, x4 => 1},1)},0)	.0027536
23	0	0	({},x1*x2*x3*x4+x1*x2*x3+x1*x3*x4+x2*x4+x2+x4)	.002829
24	2	4	({({x1 => 1, x2 => 1},0), ({x3 => 1, x4 => 1},1)},0)	.0059975
25	2	4	({({x1 => 1},0), ({x2 => 1, x3 => 1, x4 => 1},1)},0)	.0063431
26	2	4	({({x3 => 1, x4 => 1},0), ({x1 => 1, x2 => 1},1)},0)	.0057412
27	2	4	({({x4 => 1},0), ({x1 => 1, x2 => 1, x3 => 1},1)},0)	.006807
28	1	4	({({x1 => 1, x2 => 1, x3 => 0, x4 => 1},0)},1)	.0034435
29	1	4	({({x1 => 1, x2 => 1, x3 => 1, x4 => 1},1)},0)	.0034937
30	1	4	({({x1 => 1, x2 => 1, x3 => 1, x4 => 1},1)},0)	.131634
31	2	4	({({x3 => 1, x4 => 1},0), ({x1 => 1, x2 => 1},1)},0)	.0061089
32	1	4	({({x1 => 1, x2 => 1, x3 => 1, x4 => 1},1)},0)	.0036914
33	1	4	({({x1 => 1, x2 => 1, x3 => 1, x4 => 1},1)},0)	.003683
34	2	4	({({x3 => 1},1), ({x1 => 1, x2 => 1, x4 => 1},0)},1)	.0062873
35	2	4	({({x3 => 1},0), ({x1 => 1, x2 => 1, x4 => 1},1)},0)	.0061654
36	3	4	({({x2 => 1},0), ({x1 => 1},1), ({x3 => 0, x4 => 0},0)},1)	.007958
37	2	4	({({x4 => 1},0), ({x1 => 1, x2 => 1, x3 => 1},1)},0)	.0072477
38	1	4	({({x1 => 0, x2 => 0, x3 => 0, x4 => 1},0)},1)	.0035297
39	2	4	({({x2 => 1},0), ({x1 => 1, x3 => 1, x4 => 1},1)},0)	.0091012
40	1	4	({({x1 => 0, x2 => 1, x3 => 1, x4 => 0},0)},1)	.0038596
41	2	4	({({x1 => 1},1), ({x2 => 1, x3 => 1, x4 => 1},0)},1)	.0065849
42	2	4	({({x2 => 1, x3 => 1},1), ({x1 => 0, x4 => 0},0)},1)	.0059435
43	2	4	({({x2 => 0, x4 => 0},0), ({x1 => 1, x3 => 1},1)},0)	.0078632
44	1	4	({({x1 => 1, x2 => 1, x3 => 1, x4 => 1},1)},0)	.0071431
45	2	4	({({x3 => 0, x4 => 0},0), ({x1 => 1, x2 => 1},1)},0)	.005867
46	2	4	({({x3 => 0, x4 => 0},0), ({x1 => 1, x2 => 1},1)},0)	.006382
47	2	4	({({x2 => 0, x4 => 0},0), ({x1 => 1, x3 => 1},1)},0)	.0072645
48	2	4	({({x3 => 0, x4 => 0},0), ({x1 => 1, x2 => 1},1)},0)	.0092541
49	3	4	({({x2 => 1},0), ({x3 => 1},1), ({x1 => 0, x4 => 0},0)},1)	.0106404
50	2	4	({({x1 => 1, x3 => 1},1), ({x2 => 0, x4 => 0},0)},1)	.0061203
51	1	4	({({x1 => 0, x2 => 0, x3 => 0, x4 => 0},0)},1)	.0050599
52	2	4	({({x3 => 1},0), ({x1 => 1, x2 => 1, x4 => 1},1)},0)	.011456
53	2	4	({({x3 => 0, x4 => 0},0), ({x1 => 1, x2 => 1},1)},0)	.0078296
54	2	4	({({x1 => 1, x3 => 1},1), ({x2 => 0, x4 => 0},0)},1)	.0082113
55	3	4	({({x4 => 1},1), ({x3 => 1},0), ({x1 => 1, x2 => 1},1)},0)	.0147075
56	1	4	({({x1 => 1, x2 => 1, x3 => 1, x4 => 0},0)},1)	.0051508
57	2	4	({({x2 => 1, x3 => 1},0), ({x1 => 1, x4 => 1},1)},0)	.007158
58	1	4	({({x1 => 0, x2 => 1, x3 => 0, x4 => 1},0)},1)	.0042303
59	1	4	({({x1 => 1, x2 => 0, x3 => 0, x4 => 1},0)},1)	.0067196
