ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	0	0	({},x1*x2*x3*x4+x1*x2*x4+x1*x3*x4+x2*x3*x4+x1*x4+x1+1)	.00364012
1	0	0	({},x1*x3+x1*x4+x2*x4+x1+x2+1)	.00421375
2	0	0	({},x1*x2*x3*x4+x1*x2*x3+x1*x3*x4+x1*x2+x2*x4+x2+1)	.00353347
3	0	0	({},x1*x3+x2*x4+x3*x4+x1+x4)	.00344045
4	0	0	({},x1*x2*x3+x1*x3*x4+x1*x2+x2*x3+x1*x4+x2*x4+x3*x4+x1+x2+x3+x4)	.00333756
5	0	0	({},x1*x2*x3*x4+x1*x2*x4+x2*x3*x4+x1*x3+x1*x4+x3*x4+x3)	.00331663
6	0	0	({},x1*x2*x3*x4+x1*x3*x4+x2*x3*x4+x2*x3+x1*x4+x2*x4+x2+1)	.00322251
7	0	0	({},x1*x2*x3*x4+x2*x3*x4+x1*x2+x2*x3+x2*x4+x3+1)	.00320135
8	0	0	({},x1*x2*x3*x4+x1*x3*x4+x2*x3*x4+x1*x2+x1*x3+x1*x4+x3*x4+x1+x2+x3)	.00314344
9	0	0	({},x1*x2*x3*x4+x1*x2*x3+x1*x3*x4+x2*x3*x4+x1*x4+x4)	.00279831
10	0	0	({},x1*x2*x3*x4+x1*x2*x4*x5+x1*x2*x3+x1*x2*x4+x1*x3*x4+x1*x2*x5+x1*x4*x5+x2*x4*x5+x1*x2+x1*x3+x2*x3+x1*x4+x3*x4+x1*x5+x2*x5+x3*x5+x5)	.0045507
11	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4+x1*x2*x3*x5+x2*x3*x4*x5+x1*x2*x4+x1*x3*x4+x1*x2*x5+x2*x4*x5+x1*x2+x1*x3+x2*x4+x4*x5+x3+x4+1)	.0299362
12	0	0	({},x1*x2*x3*x4+x1*x3*x4*x5+x1*x3*x4+x2*x3*x4+x1*x3*x5+x2*x3*x5+x2*x4*x5+x1*x3+x2*x4+x3*x4+x2*x5+x1+x5)	.00523449
13	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4+x1*x3*x4*x5+x1*x2*x3+x1*x2*x4+x1*x3*x4+x2*x3*x4+x1*x4*x5+x1*x2+x1*x3+x1*x4+x2*x4+x3*x4+x1+x2+x3+x4)	.00434627
14	0	0	({},x1*x2*x3*x5+x1*x2*x4*x5+x1*x2*x3+x1*x3*x4+x1*x2*x5+x2*x4*x5+x3*x4*x5+x1*x3+x2*x4+x3*x4+x1*x5+x1+x2+x5+1)	.00434185
15	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4+x1*x2*x4*x5+x1*x3*x4*x5+x1*x2*x3+x1*x2*x4+x1*x2*x5+x1*x3*x5+x3*x4*x5+x1*x2+x2*x3+x2*x4+x3*x4+x2*x5+x4+x5+1)	.00511362
16	0	0	({},x1*x2*x3*x4+x1*x2*x4*x5+x2*x3*x4*x5+x1*x2*x3+x1*x2*x4+x1*x3*x4+x1*x3*x5+x2*x3*x5+x2*x4*x5+x3*x4*x5+x1*x3+x2*x3+x1*x4+x2*x4+x4*x5+x1)	.00431292
17	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4+x1*x3*x4*x5+x2*x3*x4*x5+x1*x2*x4+x1*x3*x4+x1*x2*x5+x1*x3*x5+x2*x3+x1*x4+x1*x5+x2*x5+x1)	.00426259
18	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4+x1*x2*x3*x5+x1*x2*x4*x5+x1*x2*x4+x1*x3*x4+x2*x3*x4+x1*x2*x5+x1*x3*x5+x2*x4*x5+x3*x4*x5+x1*x3+x2*x3+x1*x4+x2*x5+x2+x5+1)	.00418483
19	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4+x1*x2*x3*x5+x1*x3*x4*x5+x1*x2*x4+x2*x3*x4+x1*x2*x5+x3*x4*x5+x1*x2+x1*x3+x1*x4+x2*x4+x3*x4+x2*x5+x3)	.00481763
20	0	0	({},x1*x2*x3*x4*x5+x1*x2*x3*x4*x6+x1*x2*x3*x5*x6+x1*x3*x4*x5*x6+x1*x2*x4*x5+x1*x3*x4*x5+x2*x3*x4*x5+x2*x3*x4*x6+x1*x3*x5*x6+x1*x4*x5*x6+x2*x4*x5*x6+x3*x4*x5*x6+x1*x2*x4+x2*x3*x4+x1*x2*x5+x1*x3*x5+x2*x3*x5+x2*x4*x5+x3*x4*x5+x1*x3*x6+x1*x4*x6+x2*x4*x6+x1*x5*x6+x2*x5*x6+x3*x5*x6+x1*x2+x2*x3+x3*x5+x4*x5+x2*x6+x3*x6+x4*x6+x5*x6+x4+1)	.0063208
