ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000183
1	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000091
2	1	2	({({x1 => 1, x2 => 1},0)},1)	0.000083
3	1	2	({({x1 => 0, x2 => 0},0)},1)	0.000080
4	1	2	({({x1 => 0, x2 => 0},1)},0)	0.000081
5	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000215
6	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	0.000208
7	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},0)	0.000208
8	1	4	({({x1 => 1, x2 => 1, x3 => 0, x4 => 0},0)},1)	0.000099
9	2	4	({({x4 => 0},1), ({x1 => 1, x2 => 1, x3 => 1},0)},1)	0.000152
10	4	6	({({x6 => 1},1), ({x1 => 1, x3 => 1},0), ({x2 => 1},1), ({x4 => 1, x5 => 0},0)},1)	0.000298
11	3	6	({({x1 => 1},0), ({x6 => 0},1), ({x2 => 0, x3 => 0, x4 => 1, x5 => 1},0)},1)	0.000257
12	3	6	({({x4 => 1},0), ({x1 => 1, x2 => 0},1), ({x3 => 0, x5 => 1, x6 => 1},0)},1)	0.000259
13	2	6	({({x1 => 1, x2 => 0, x5 => 0},1), ({x3 => 0, x4 => 1, x6 => 1},0)},1)	0.000209
14	4	6	({({x1 => 0, x6 => 0},0), ({x5 => 1},1), ({x3 => 0},0), ({x2 => 1, x4 => 0},1)},0)	0.000339
15	3	8	({({x2 => 0, x3 => 1, x4 => 0, x7 => 0},0), ({x6 => 1},1), ({x1 => 1, x5 => 1, x8 => 0},0)},1)	0.000541
16	3	8	({({x8 => 0},1), ({x1 => 0, x2 => 1, x3 => 0, x4 => 1, x5 => 0},0), ({x6 => 0, x7 => 0},1)},0)	0.000475
17	5	8	({({x5 => 0},0), ({x1 => 1, x3 => 0},1), ({x2 => 1},0), ({x4 => 1},1), ({x6 => 0, x7 => 1, x8 => 1},0)},1)	0.000517
18	4	8	({({x7 => 0},1), ({x1 => 1, x3 => 1},0), ({x2 => 0, x5 => 1},1), ({x4 => 1, x6 => 1, x8 => 1},0)},1)	0.000502
19	4	8	({({x2 => 0, x6 => 1},0), ({x3 => 0},1), ({x5 => 1, x7 => 0},0), ({x1 => 1, x4 => 0, x8 => 1},1)},0)	0.000560
20	3	10	({({x2 => 1, x5 => 1, x9 => 1},1), ({x1 => 0, x6 => 1},0), ({x3 => 0, x4 => 1, x7 => 0, x8 => 1, x10 => 1},1)},0)	0.000922
21	7	10	({({x3 => 1},0), ({x4 => 1, x8 => 1},1), ({x5 => 1},0), ({x2 => 1},1), ({x9 => 1, x10 => 1},0), ({x7 => 0},1), ({x1 => 0, x6 => 1},0)},1)	0.000998
22	5	10	({({x1 => 0},1), ({x2 => 0, x8 => 1},0), ({x4 => 0, x7 => 0, x10 => 0},1), ({x5 => 1},0), ({x3 => 1, x6 => 1, x9 => 1},1)},0)	0.002517
23	4	10	({({x4 => 1, x5 => 0, x7 => 0, x8 => 1},1), ({x6 => 1},0), ({x1 => 0, x3 => 1, x9 => 0},1), ({x2 => 0, x10 => 1},0)},1)	0.001192
24	7	10	({({x3 => 0},0), ({x6 => 0},1), ({x2 => 1},0), ({x7 => 1},1), ({x10 => 1},0), ({x1 => 0, x4 => 0, x8 => 1},1), ({x5 => 1, x9 => 0},0)},1)	0.001372
25	5	12	({({x6 => 0},0), ({x1 => 0, x3 => 0, x10 => 0},1), ({x7 => 0, x9 => 0},0), ({x2 => 1, x4 => 0, x5 => 0, x8 => 0},1), ({x11 => 0, x12 => 1},0)},1)	0.005499
26	7	12	({({x2 => 1, x3 => 0},0), ({x5 => 1},1), ({x4 => 0, x8 => 1},0), ({x6 => 1},1), ({x1 => 0, x7 => 0, x9 => 0},0), ({x12 => 1},1), ({x10 => 1, x11 => 0},0)},1)	0.004141
27	4	12	({({x1 => 0, x3 => 0, x8 => 1, x11 => 1},0), ({x4 => 1, x12 => 0},1), ({x2 => 1, x5 => 0, x6 => 1, x9 => 0},0), ({x7 => 0, x10 => 1},1)},0)	0.008672
