ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 1},1)},0)	0.000212
1	0	0	({},1001)	0.000052
2	1	2	({({x1 => 1, x2 => 0},1)},0)	0.000111
3	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000107
4	0	0	({},0110)	0.000044
5	1	1	({({x3 => 0},1)},0110)	0.000145
6	0	0	({},11101001)	0.000047
7	1	1	({({x3 => 0},0)},1001)	0.000139
8	0	0	({},00110100)	0.000045
9	1	3	({({x1 => 0, x2 => 1, x3 => 0},1)},0)	0.000113
10	0	0	({},0011010010001101)	0.000057
11	0	0	({},0010101111101111)	0.000052
12	0	0	({},0100001100101111)	0.000051
13	0	0	({},1011101001011001)	0.000050
14	0	0	({},0010010001001010)	0.000051
