ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 1},1)},0)	0.000222
1	0	0	({},1001)	0.000032
2	1	2	({({x1 => 1, x2 => 0},1)},0)	0.000111
3	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000103
4	0	0	({},0110)	0.000029
5	1	1	({({x3 => 0},1)},0110)	0.000111
6	0	0	({},11101001)	0.000033
7	1	1	({({x3 => 0},0)},1001)	0.000119
8	0	0	({},00110100)	0.000032
9	1	3	({({x1 => 0, x2 => 1, x3 => 0},1)},0)	0.000112
10	0	0	({},0011010010001101)	0.000037
11	0	0	({},0010101111101111)	0.000036
12	0	0	({},0100001100101111)	0.000033
13	0	0	({},1011101001011001)	0.000033
14	0	0	({},0010010001001010)	0.000033
15	0	0	({},00110000010100011100111100011010)	0.000042
16	0	0	({},11100011101111001100011011111000)	0.000041
17	0	0	({},10001001111010000111010011111100)	0.000039
18	0	0	({},11100001110111111100001101001010)	0.000041
19	0	0	({},11010100001110100111011010110011)	0.000038
20	0	0	({},1010011111011100110111000100000011100111010101110100101001000000)	0.000048
21	0	0	({},1011100111101010000111110101010110001110010010001010101100101010)	0.000047
22	0	0	({},1011010000011000011001011111111111001111001001010100100000101001)	0.000047
23	0	0	({},1111001001110001101000110101001000001111111100001111010011101110)	0.000052
24	0	0	({},0010001010101101000101011011011111001111010010101101101000010010)	0.000050
