ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	2	({({x1 => 0, x2 => 1},1)},0)	0.000457
1	0	0	({},1001)	0.000135
2	1	2	({({x1 => 1, x2 => 0},1)},0)	0.000278
3	1	2	({({x1 => 1, x2 => 1},1)},0)	0.000211
4	0	0	({},0110)	0.000085
5	0	0	({},1011111010111101)	0.000101
6	0	0	({},1010100000110001)	0.000097
7	0	0	({},0010111111011001)	0.000096
8	0	0	({},1010010001101000)	0.000094
9	0	0	({},0101111101111011)	0.000093
10	0	0	({},0110010111100010111010010110010101010100010101000001001000100101)	0.000384
11	0	0	({},0110000010100011100111100011010010111100011101111001100011011111)	0.000188
12	0	0	({},0110001001111010000111010011111100111111111100001110111111100001)	0.000183
13	0	0	({},1010100001110101000011101001110110101100110111111001010011111011)	0.000181
14	0	0	({},1110001000000111001110101011101001010010000000001011011100111101)	0.000185
