ID	NumLayers	Depth	CanalizationStructure	CpuTime
0	1	4	({({x1 => 1, x2 => 0, x3 => 0, x4 => 1},1)},0)	0.000243
1	1	4	({({x1 => 1, x2 => 0, x3 => 1, x4 => 0},0)},1)	0.000150
2	3	4	({({x3 => 1},0), ({x4 => 1},1), ({x1 => 0, x2 => 1},0)},1)	0.000310
3	3	4	({({x1 => 1},1), ({x4 => 1},0), ({x2 => 0, x3 => 0},1)},0)	0.000300
4	3	4	({({x4 => 0},1), ({x2 => 1},0), ({x1 => 0, x3 => 1},1)},0)	0.000382
5	1	4	({({x1 => 1, x2 => 1, x3 => 0, x4 => 0},0)},1)	0.000135
6	2	4	({({x4 => 0},1), ({x1 => 1, x2 => 1, x3 => 1},0)},1)	0.000267
7	2	4	({({x2 => 1},0), ({x1 => 1, x3 => 0, x4 => 1},1)},0)	0.000222
8	2	4	({({x2 => 1, x4 => 1},0), ({x1 => 0, x3 => 0},1)},0)	0.000402
9	1	4	({({x1 => 1, x2 => 0, x3 => 1, x4 => 0},0)},1)	0.000282
10	3	5	({({x3 => 0},1), ({x5 => 1},0), ({x1 => 1, x2 => 1, x4 => 1},1)},0)	0.000463
11	3	5	({({x5 => 0},0), ({x2 => 0, x3 => 1},1), ({x1 => 0, x4 => 0},0)},1)	0.000635
12	2	5	({({x1 => 1},0), ({x2 => 0, x3 => 0, x4 => 0, x5 => 0},1)},0)	0.000309
13	4	5	({({x4 => 0},1), ({x1 => 1},0), ({x5 => 1},1), ({x2 => 1, x3 => 0},0)},1)	0.000445
14	3	5	({({x2 => 0},0), ({x5 => 0},1), ({x1 => 1, x3 => 0, x4 => 1},0)},1)	0.000350
15	3	5	({({x1 => 0, x5 => 1},0), ({x2 => 0},1), ({x3 => 0, x4 => 0},0)},1)	0.000334
16	1	5	({({x1 => 0, x2 => 1, x3 => 1, x4 => 0, x5 => 1},0)},1)	0.000156
17	2	5	({({x3 => 0},0), ({x1 => 0, x2 => 1, x4 => 1, x5 => 1},1)},0)	0.000259
18	3	5	({({x5 => 1},1), ({x3 => 0},0), ({x1 => 0, x2 => 0, x4 => 1},1)},0)	0.000349
19	2	5	({({x1 => 1, x4 => 1, x5 => 1},1), ({x2 => 1, x3 => 0},0)},1)	0.000256
20	2	6	({({x2 => 1, x6 => 1},1), ({x1 => 0, x3 => 1, x4 => 1, x5 => 0},0)},1)	0.000309
21	4	6	({({x1 => 1, x6 => 0},1), ({x5 => 0},0), ({x2 => 0},1), ({x3 => 1, x4 => 1},0)},1)	0.000484
22	2	6	({({x1 => 1, x2 => 0, x3 => 0},1), ({x4 => 1, x5 => 1, x6 => 0},0)},1)	0.000290
23	3	6	({({x5 => 1},0), ({x1 => 0, x3 => 1, x4 => 1},1), ({x2 => 0, x6 => 1},0)},1)	0.000406
24	5	6	({({x5 => 0},0), ({x3 => 1},1), ({x4 => 1},0), ({x2 => 0},1), ({x1 => 1, x6 => 1},0)},1)	0.000579
25	2	6	({({x1 => 0, x6 => 1},0), ({x2 => 0, x3 => 0, x4 => 1, x5 => 1},1)},0)	0.000292
26	3	6	({({x1 => 1},0), ({x2 => 1, x5 => 0},1), ({x3 => 0, x4 => 1, x6 => 0},0)},1)	0.000397
27	3	6	({({x4 => 1},1), ({x1 => 1, x3 => 0},0), ({x2 => 0, x5 => 0, x6 => 1},1)},0)	0.000399
28	3	6	({({x2 => 1, x3 => 1, x4 => 0},0), ({x6 => 1},1), ({x1 => 1, x5 => 1},0)},1)	0.000368
29	3	6	({({x3 => 1},1), ({x6 => 1},0), ({x1 => 1, x2 => 1, x4 => 1, x5 => 0},1)},0)	0.000405
